address;latitude;longitude;resource
ул.Спортивная 13, Самара;53.18924551274462;50.1227821364033;marker
ул.Ульяновский спуск 19, Самара;53.20140289186556;50.10582795780484;marker
ул.Осипенко 32, Самара;53.20973876880952;50.13697697111334;marker
пр.Масленникова 14, Самара;53.21086187032095;50.156570394965875;marker
ул.Мичурина 129, Самара;53.21123283064118;50.156679687223715;marker
ул.Лукачева 4, Самара;53.22057866868743;50.164620221148546;marker
ул.Ново-Садовая 285, Самара;53.2349674487778;50.18510094169771;marker
ул.Солнечная 18, Самара;53.24362064203568;50.186172059188735;marker
ул.Ново-Вокзальная 122, Самара;53.23797679519505;50.21776031078718;marker
ул.Стара-Загора 130, Самара;53.24784559714366;50.23523164838337;marker
пр.Кирова 130, Самара;53.23477826629347;50.24514448027385;marker
ул.Победы 132, Самара;53.226409677709725;50.268483855480596;marker
ул.Победы 111, Самара;53.2221439537099;50.26068767219744;marker
ул.Свободы 88, Самара;53.217191272314054;50.24542630559621;marker
ул.Антонова-Овсеенко 101, Самара;53.215101361240336;50.224858036872185;marker
ул.Центральная 25, Самара;53.22365591377552;50.19238508713482;marker
ул.Дыбенко 26, Самара;53.20919411839815;50.19264515919593;marker
ул.Авроры 114, Самара;53.20296974471486;50.18927081549365;marker
ул.Революционная 156, Самара;53.194876544142545;50.17888611341722;marker
ул.Гагарина 29, Самара;53.202497573370735;50.16848977817218;marker
ул.Осетинская 5, Самара;53.15482006665451;50.07500308263412;marker
ул.Пугачевский тракт 72, Самара;53.12313861718788;50.08747194443671;marker
пр.Победы 20, Новокуйбышевск, Самарская обл;53.10227986324784;49.96847383990416;marker